STA_ID,LONG,LAT,SEASON,Date,THG_Fish,AFDW_Floc,AFDW_Soil,Alk_Phos_SW,Bulk_Dens_Floc,Bulk_Dens_Soil,CHLA_SW,CL_SW,COND,DO,Floc_Depth_ft,H2S_PW,MEHG_epi_peri,MEHG_Floc,MEHG_Peri_AVG,MEHG_soil,MEHG_soil_peri,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,PH_soil,PH_SW,REDOX_PW,REDOX_SW,SO4_soil,SO4_SW,Soil_Thickness_FT,Sol_Reac_Phos_PW,Sol_Reac_Phos_SW,TEMP,THG_epi_peri,THG_floc,THG_peri_AVG,THG_peri_soil,THG_soil,THG_SW,TOC_SW,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Nitrogen_SW,Tot_Phos_floc,Tot_Phos_soil,Tot_Phos_SW,TURB,Wat_Depth_ft
M079,-80.652933,25.639345,D,4/5/1995,202.760000,,33.380000,2.120000,,0.250000,,,672.000000,8.500000,,,2.020000,,2.020000,0.520000,,0.347000,,,,,7.630000,80.300000,,150.000000,6.200000,0.700000,,,26.180000,64.930000,,64.930000,,100.000000,2.380000,33.260000,,,,,362.260000,45.800000,2.650000,1.400000
M091,-80.710614,25.496501,D,4/5/1995,,,11.090000,1.850000,,0.540000,,,476.000000,10.560000,,,1.150000,,1.395000,0.050000,1.640000,0.071000,,,,,7.920000,315.500000,,78.000000,2.000000,0.900000,,,24.940000,34.430000,,46.080000,57.730000,28.000000,1.690000,16.940000,,,,,145.040000,6.670000,3.870000,0.300000
M074,-80.707942,25.707048,D,4/5/1995,189.270000,,36.620000,1.390000,,0.210000,,,595.000000,9.500000,,,1.890000,,1.350000,0.710000,0.810000,0.118000,,,,,7.670000,112.000000,,170.000000,11.000000,0.500000,,,25.690000,45.350000,,45.025000,44.700000,120.000000,1.340000,23.270000,,,,,392.040000,45.110000,0.510000,2.000000
M071,-80.685271,25.747307,D,4/5/1995,67.110000,,42.310000,0.960000,,0.250000,,,600.000000,5.870000,,,4.020000,,4.020000,0.220000,,0.420000,,,,,7.490000,138.300000,,130.000000,18.000000,0.300000,,,26.480000,63.070000,,63.070000,,150.000000,1.990000,23.150000,,,,,380.710000,139.090000,1.030000,2.000000
M106,-80.490694,25.288957,D,4/6/1995,,,7.750000,3.250000,,0.420000,,,715.000000,2.220000,,,,,0.230000,0.060000,0.230000,0.418000,,,,,6.940000,128.300000,,100.000000,2.000000,3.200000,,,23.280000,,,,,18.000000,4.690000,19.050000,,,,,82.860000,17.210000,179.700000,0.800000
M090,-80.779028,25.501343,D,4/6/1995,145.210000,,79.930000,2.010000,,0.120000,,,677.000000,5.680000,,,,,,0.710000,,0.262000,,,,,7.390000,59.000000,,350.000000,6.600000,1.500000,,,25.110000,7.160000,,7.160000,,160.000000,1.960000,31.630000,,,,,484.800000,7.520000,1.450000,1.500000
M105,-80.597451,25.278122,D,4/6/1995,,,10.140000,3.580000,,0.360000,,,723.000000,4.810000,,,0.350000,,0.250000,0.050000,0.150000,0.232000,,,,,7.280000,76.700000,,110.000000,2.000000,1.800000,,,24.890000,,,87.140000,87.140000,30.000000,2.550000,23.290000,,,,,91.120000,4.260000,12.290000,0.200000
M089,-80.863692,25.494651,D,4/6/1995,159.020000,,71.510000,1.780000,,0.160000,,,532.000000,5.160000,,,,,,1.130000,,0.221000,,,,,7.130000,3.700000,,220.000000,2.000000,0.500000,,,25.970000,,,,,230.000000,2.730000,30.130000,,,,,630.390000,8.760000,3.210000,1.500000
M104,-80.664235,25.261128,D,4/6/1995,,,27.670000,0.950000,,0.220000,,,445.000000,2.740000,,,0.260000,,0.260000,0.110000,,0.308000,,,,,7.240000,104.700000,,220.000000,2.000000,1.200000,,,23.660000,29.970000,,29.970000,,58.000000,2.250000,15.290000,,,,,223.810000,3.880000,9.310000,0.800000
M085,-80.824377,25.559641,D,4/6/1995,57.520000,,34.240000,3.000000,,0.210000,,,485.000000,5.630000,,,1.990000,,2.355000,0.050000,2.720000,0.514000,,,,,7.450000,180.500000,,200.000000,2.000000,0.500000,,,25.600000,44.740000,,44.740000,,100.000000,2.900000,29.630000,,,,,321.480000,6.280000,5.650000,1.000000
M101,-80.627173,25.324297,D,4/6/1995,,,16.250000,2.580000,,0.330000,,,446.000000,2.840000,,,1.470000,,1.025000,0.120000,0.580000,0.938000,,,,,7.370000,111.700000,,120.000000,2.000000,2.400000,,,24.600000,17.180000,,19.435000,21.690000,38.000000,4.930000,22.320000,,,,,194.380000,4.810000,4.950000,1.000000
M102,-80.561499,25.340185,D,4/6/1995,,,9.810000,,,0.620000,,,,,,,,,0.170000,0.140000,0.170000,,,,,,,239.300000,,77.000000,,0.300000,,,,,,58.240000,58.240000,23.000000,,,,,,,112.430000,,,0.000000
M066,-80.515673,25.836945,D,4/6/1995,405.520000,,84.030000,0.870000,,0.140000,,,623.000000,3.520000,,,4.130000,,4.130000,0.280000,,0.545000,,,,,7.170000,141.700000,,250.000000,5.700000,2.800000,,,23.370000,31.340000,,31.340000,,150.000000,2.450000,23.470000,,,,,260.790000,55.180000,0.950000,1.700000
M065,-80.601754,25.833824,D,4/6/1995,185.740000,,79.980000,1.910000,,0.160000,,,575.000000,4.420000,,,1.760000,,1.335000,0.840000,0.910000,0.339000,,,,,7.330000,131.300000,,130.000000,2.000000,4.700000,,,22.740000,4.150000,,4.150000,,140.000000,2.350000,20.700000,,,,,386.270000,46.730000,10.690000,1.800000
M084,-80.914861,25.544083,D,4/7/1995,,,16.680000,1.370000,,0.420000,,,441.000000,3.240000,,,0.890000,,0.485000,0.180000,0.080000,0.056000,,,,,7.630000,-27.000000,,100.000000,2.000000,2.000000,,,22.260000,20.640000,,20.640000,,37.000000,1.660000,21.490000,,,,,279.720000,4.110000,1.170000,0.800000
M096,-80.623646,25.411255,D,4/7/1995,,,20.570000,,,0.500000,,,,,,,,,,0.250000,,,,,,,,,,98.000000,,2.500000,,,,,,,,68.000000,,,,,,,334.970000,,,0.000000
