"","ln_Hg_fish","DOC","soil_drywt","sulfide","sulfate","MeHg_soil","MeHg_water","Hg_soil","MeHg_peri","TN","TP"
"347",3.988984047,3.02042488614436,2.56571829252441,-0.2449137007132,2.27212588550934,0.8754687373539,-1.71479842809193,4.44265125649032,NA,-0.27443684570176,2.17475172148416
"348",3.988984047,2.94443897916644,2.56571829252441,-2.92357346693264,-0.82098055206983,-1.07880966137193,-2.74887219562247,4.70048036579242,NA,-0.415515443961666,1.7227665977411
"349",4.077537444,3.23867845216438,2.48573963609189,-3.34761651127288,2.11625551480255,0.336472236621213,-2.52572864430826,5.07517381523383,NA,-0.3147107448397,1.88706964903238
"350",4.219507705,2.91777073208428,2.94496515650034,-2.56919153177274,0.693147180559945,-2.12026353620009,-2.81341071676004,4.78749174278205,-0.967584026261706,-0.23572233352107,1.56861591791385
"351",4.442651256,3.04452243772342,3.55563373496657,-3.28010760596854,-0.23572233352107,-0.261364764134408,-3.91202300542815,5.01063529409626,0.78845736036427,-0.127833371509885,1.45861502269952
"352",4.532599493,2.91777073208428,2.30358459332713,-2.92357346693264,-1.38629436111989,1.66770682055808,-2.39689577246529,5.07517381523383,0.0953101798043249,-0.462035459596559,1.58923520511658
"353",4.605170186,2.99573227355399,2.56571829252441,-3.28010760596854,-0.3147107448397,1.06471073699243,-2.50103603171788,5.56068163101553,NA,-0.400477566597125,1.56861591791385
"354",4.787491743,3.04452243772342,2.99623214859564,-2.27204200832713,-0.59783700075562,-1.07880966137193,-2.60369018577797,4.86753445045558,NA,-0.59783700075562,1.56861591791385
"355",3.258096538,3.04452243772342,2.77321352700862,-3.42156414325217,-1.46967597005894,1.48160454092422,-2.81341071676004,5.4380793089232,NA,-0.49429632181478,2.484906649788
"356",3.496507561,3.04452243772342,2.48573963609189,-0.257953722124779,0.916290731874155,0.53062825106217,-2.12026353620009,4.9416424226093,NA,-0.446287102628419,2.30258509299405
"357",3.526360525,3.17805383034795,2.83380140640777,-3.69829504196763,-0.916290731874155,0.336472236621213,-1.89711998488588,5.52146091786225,0.0953101798043249,-0.0202027073175195,2.04122032885964
"358",3.583518938,3.43398720448515,2.99623214859564,-2.00596387155328,2.63905732961526,1.19392246847243,-2.55104645229255,5.07517381523383,NA,0.0953101798043249,2.70805020110221
