STA_ID,LONG,LAT,SEASON,Date,THG_Fish,Floc_Depth_ft,AFDW_Floc,MEHG_Floc,THG_floc,Tot_Phos_floc,Bulk_Dens_Floc,Soil_Thickness_FT,AFDW_Soil,Bulk_Dens_Soil,PH_soil,SO4_soil,MEHG_soil,THG_soil,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Phos_soil,Wat_Depth_ft,COND_SW,DO_SW,TEMP_SW,PH_SW,TURB_SW,REDOX_SW,Alk_Phos_SW,CHLA_SW,CL_SW,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,SO4_SW,Sol_Reac_Phos_SW,THG_SW,TOC_SW,Tot_Nitrogen_SW,Tot_Phos_SW,REDOX_PW,H2S_PW,Sol_Reac_Phos_PW,MEHG_Peri_AVG,THG_epi_peri
M279,-80.740728,26.251463,D,5/13/1996,,,,,,,,2.2,63.38,0.16,,1100,1.17,120,,2.25,466.33,0.1,1092,5.27,23.86,7.5,3.89,-79,,,,1.26,,,,140,,2.88,43.25,,19.84,-33,,,1.56,28.86
M248,-80.353876,26.569925,D,5/13/1996,139.82,,,,,,,9,93.13,0.05,,64,6.45,120,,1.87,248.18,0.3,287,3.6,25.92,6.61,19.45,157,,,,4.4,,,,2,,10.1,30.47,,21.08,183,,,,
M277,-80.810485,26.289548,D,5/13/1996,,,,,,,,0.3,83.42,0.9,,1100,1.05,13,,,387.33,0,,,,,,,,,,,,,,,,,,,,,,,,
M278,-80.691257,26.272227,D,5/13/1996,,,,,,,,2,14.7,0.17,,6100,1.73,130,,2.6,322.17,0.1,1354,5.03,27.99,7.51,10.9,-136,,,,4.26,,,,130,,8.18,65.16,,91.24,-97,,,,
M274,-80.659,26.3295,D,5/13/1996,,,,,,,,2.7,88.22,0.19,,66,1.35,170,,,571.94,0,,,,,,,,,,,,,,,,,,,,,,,,
M275,-80.514873,26.296512,D,5/13/1996,,,,,,,,1.9,85.34,0.16,,47,1.24,180,,2.39,620,0.1,586,2.32,23.44,7.14,105.5,10,,,,0.247,,,,6.6,,41.38,25.45,,240.87,124,,,,
M276,-80.599625,26.291154,D,5/13/1996,86.63,,,,,,,0.8,62.43,0.24,,1300,3.94,64,,2.3,1273.68,0.2,1281,4.62,28.71,7.28,4.86,-48,,,,0.241,,,,3.6,,1.5,62.98,,23.56,-2,,,,
M263,-80.460611,26.305028,D,5/13/1996,,,,,,,,4.8,89.03,0.15,,61,0.32,180,,2.53,335.87,0.3,1261,6.86,33.05,7.77,4.83,84,,,,2.25,,,,9.1,,5.08,59,,18.29,22,,,1.6,63.35
M262,-80.372321,26.30689,D,5/13/1996,10.79,,,,,,,4.2,83.14,0.11,,35,,170,,2.02,489.05,0.8,1223,1.81,31.44,7.47,4.11,-60,,,,0.39,,,,4.3,,1.69,45.88,,17.83,23,,,,
M280,-80.548614,26.236553,D,5/13/1996,,,,,,,,1.5,74.92,0.17,,140,2,130,,,496.89,0,,,,,,,,,,,,,,,,,,,,274,,,,
M281,-80.481806,26.235083,D,5/13/1996,17.76,,,,,,,1.7,82.02,0.16,,83,0.45,140,,1.96,399.17,0.3,886,3.34,31.84,7.36,1.02,-52,,,,0.258,,,,24,,1.08,41.24,,16.12,128,,,,
M265,-80.403656,26.230955,D,5/13/1996,47.1,,,,,,,6.1,88.02,0.12,,10,0.18,200,,2.24,283.19,0.9,1176,5.96,28.77,7.85,2.38,98,,,,,,,,44,,4.01,50.38,,10.44,44,,,3.56,51.45
M264,-80.306675,26.256487,D,5/13/1996,49.37,,,,,,,2.5,88.42,0.11,,1100,0.33,170,,1.47,412.17,0.7,619,4.8,26.62,7.27,0.89,30,,,,0.553,,,,9.4,,1.41,29,,9.2,68,,,,
M360,-80.910296,25.660925,D,5/14/1996,246.94,,,,,,,1.9,31.21,0.47,,12,0.12,52,,1.73,382.51,0.4,578,1.12,30.68,6.79,11.7,-23,,,,0.365,,,,2,,2.54,16.23,,47.02,-112,,,1.59,13.73
M479,-80.578562,25.302759,W,9/17/1996,174.36,,,,,,,0.5,27.71,0.47,,3.3,0.19,33,,0.78,143.1,0.1,421,7.84,30.47,7.25,2.47,108,2.93,,,0.037,,,,2,,3.92,9.7,,9.61,125.5,,,0.29,
M477,-80.769353,25.353959,W,9/17/1996,,,,,,,,0.3,21.79,0.63,,2.2,,26,,0.34,169.3,0.2,350,8.41,32.09,7.57,1.92,141,2.49,,,0.027,,,,2,,1.7,7.01,,7.13,154.5,,,0.1,
M480,-80.663357,25.290801,W,9/17/1996,229.74,,,,,,,3.7,38.93,0.25,,4.4,,46,,1,233.67,1.5,290,5.48,30.4,7.29,1.74,141,2.91,,,0.165,,,,2,,2.58,9.99,,5.58,19.5,,,1.05,357.2
M475,-80.81077,25.392537,W,9/17/1996,200.33,,,,,,,1.2,50.62,0.23,,8.1,0.22,79,,0.98,529.11,1.1,344,10.88,34.6,8.08,0.68,150,3.47,,,0.064,,,,2,,1.86,12.05,,6.61,133,,,0.9,88.74
M481,-80.709318,25.288237,W,9/17/1996,43.08,,,,,,,1.3,13.93,0.45,,2.9,,34,,0.84,124.39,0.5,294,11.89,35.19,7.84,0.95,129,2.69,,,0.041,,,,2,,1.74,8.31,,3.62,24.7,,,0.03,
M474,-80.767784,25.409242,W,9/17/1996,69.44,,,,,,,0,35.91,0.23,,4.5,,73,,0.91,407.2,0.6,299,9.16,30.84,7.88,0.67,176,2.97,,,0.084,,,,2,,1.96,10.6,,7.75,110,,,0.05,
M473,-80.693844,25.428382,W,9/17/1996,,,,,,,,0.6,41.47,0.38,,3.2,0.53,140,,0.67,1207.18,0.6,440,6.26,29.03,7.5,1.49,185,1.35,,,0.071,,,,2,,2.33,7.84,,9.15,97.5,,,0.03,
M478,-80.691893,25.347426,W,9/17/1996,80.47,,,,,,,1,21.61,0.58,,3.6,,22,,0.94,87.79,0.3,240,8.18,28.89,7.63,1.58,150,3.66,,,0.033,,,,2,,3.18,9.04,,6.92,90,,,0.06,
M470,-80.6535,25.472528,W,9/17/1996,88.97,,,,,,,1,13.39,0.5,,5.1,,42,,0.91,210.89,1,237,9.86,30.59,8.04,1.01,174,2.96,,,0.049,,,,2,,2.84,9.48,,9.09,119.5,,,0.28,38.56
M476,-80.641399,25.370047,W,9/17/1996,64.03,,,,,,,1.5,27.95,0.31,,13,0.08,42,,0.68,343.42,0.9,309,7.96,29.21,7.61,1.81,149,1.94,,,0.046,,,,2,,1.98,8.06,,10.54,0.5,,,,
M472,-80.604583,25.42895,W,9/18/1996,73.65,,,,,,,0.6,12.53,0.54,,3.8,0.1,30,,0.65,152.06,0.3,431,3.45,27.03,7.59,0.67,189,1.75,,,0.126,,,,3.1,,1.34,9.13,,4.96,96.3,,,0.16,
M469,-80.794125,25.47351,W,9/18/1996,184.78,,,,,,,0.7,72.9,0.12,,87,0.13,100,,1.35,573.86,1.8,552,1.52,29.18,7.18,1.41,115,2.92,,,0.218,,,,2.3,,0.98,19.15,,5.71,70.5,,,2.2,125.97
M467,-80.566565,25.489725,W,9/18/1996,,,,,,,,2,30.72,0.48,,23,0.82,78,,0.48,544.41,0.2,481,3.77,25.26,7.39,2.02,131,0.29,,,0.03,,,,2,,1.16,6.01,,4.86,108.5,,,,
M471,-80.86846,25.465661,W,9/18/1996,340.08,,,,,,,3.5,86.8,0.07,,1400,0.92,170,,1.1,771.84,1.2,447,2.47,28.94,7.21,2.04,111,1.41,,,0.309,,,,2,,0.98,16.78,,9.82,60.7,,,,
M466,-80.913638,25.511078,W,9/18/1996,527.52,,,,,,,1.7,31.53,0.26,,4.3,,52,,1.07,222.77,1.6,432,4.45,29.81,7.52,1.33,112,3.58,,,0.171,,,,2,,1.11,14.11,,2.89,86.3,,,2.095,72.61
M468,-80.73207,25.479815,W,9/18/1996,62.39,,,,,,,0.5,22.97,0.41,,16,0.09,46,,0.82,253.58,0.2,315,7.72,29.86,7.81,1.04,170,2.8,,,0.036,,,,2,,1.53,8.29,,3.31,70.7,,,0.28,
M461,-80.980472,25.570056,W,9/18/1996,97.05,,,,,,,4,79.64,0.12,,1300,,110,,0.96,658.75,1.3,331,5.78,30.24,7.45,0.67,101,2.49,,,0.116,,,,2,,0.81,11.17,,3.72,108,,,,
M456,-81.041897,25.616,W,9/18/1996,182.22,,,,,,,1.2,35.13,0.34,,3.4,0.18,42,,0.87,161.31,1.4,298,7.59,32.5,7.82,0.79,87,3.08,,,0.059,,,,2,,0.96,10.88,,1.96,102.3,,,0.63,134.77
M463,-80.702576,25.536811,W,9/18/1996,140.99,,,,,,,0.1,53.98,0.19,,440,0.56,120,,1.5,509.98,0.6,519,8.64,32.1,8.11,1.42,156,4.19,,,0.16,,,,2,,1.22,20.19,,4.86,-34,,,2.03,106.19
M462,-80.613095,25.559734,W,9/18/1996,76.44,,,,,,,0.1,38.39,0.32,,150,0.22,110,,1.16,494.96,0.6,435,9.36,33.57,7.86,0.79,161,2.19,,,0.108,,,,2,,1.51,17.73,,6.2,-57,,,0.37,34.55
M459,-80.756064,25.585558,W,9/18/1996,285.76,,,,,,,3,87.59,0.11,,51,0.55,180,,1.66,381.89,1.5,620,6.13,33.12,7.61,1.41,179,3.28,,,0.361,,,,3.7,,2.13,28.84,,4.89,53,,,3.39,76.32
M458,-80.681341,25.593186,W,9/18/1996,164.28,,,,,,,0.1,50.24,0.16,,300,0.26,120,,1.17,342.22,1.7,484,6.88,31.97,7.72,0.52,167,2.36,,,0.225,,,,5.3,,1.19,19.23,,2.69,-10,,,1.14,44.11
M460,-80.890357,25.580976,W,9/18/1996,109.93,,,,,,,1.6,16.14,0.57,,90,0.07,29,,1.07,229.38,0.7,334,12.28,36.25,8.08,0.62,84,2.84,,,0.073,,,,2,,1.63,13.63,,2.64,135,,,1.42,85.25
M455,-80.603092,25.627946,W,9/18/1996,83.73,,,,,,,0.2,27.59,0.32,,140,0.19,67,,1.27,231.96,0.8,376,10.4,35.64,8.39,1.32,138,3.27,,,0.053,,,,2,,1.79,19.32,,3.72,-58,,,0.73,56.38
M464,-80.866636,25.527335,W,9/18/1996,324.62,,,,,,,0.4,35.29,0.26,,150,,77,,1.28,393.66,1.2,415,11.47,35.45,8.17,1.46,99,5.16,,,0.196,,,,2,,1.07,16.63,,3.93,115,,,1.98,55.41
M465,-80.785603,25.518668,W,9/18/1996,165.62,,,,,,,1.6,77.7,0.14,,39,3.93,240,,1.76,517.32,1.3,595,7,33.41,7.64,5.75,111,5.86,,,0.415,,,,3,,1.67,22.87,,4.89,102,,,3.09,114.52
M448,-80.566285,25.677964,W,9/19/1996,98.75,,,,,,,0.1,35.45,0.13,,6.3,0.41,130,,1.22,328.7,0.7,437,4.75,28.1,7.47,2.35,171,3.53,,,0.148,,,,2,,1.72,15.81,,3.93,139.5,,,0.78,147.38
M454,-80.871104,25.629657,W,9/19/1996,73.95,,,,,,,0.3,46.08,0.3,,17,0.4,65,,0.93,888.03,1.4,307,1.55,29.4,7.18,0.51,118,0.69,,,0.099,,,,2,,1.65,13.45,,5.06,168.5,,,,
M449,-80.650912,25.677504,W,9/19/1996,215.79,,,,,,,2,85.78,0.1,,9.8,0.87,130,,1.17,323.92,2,498,3.02,28.97,7.43,0.76,187,2.43,,,0.454,,,,4.4,,2.08,20.61,,2.89,49,,,2.54,163.6
M457,-80.84045,25.595466,W,9/19/1996,79.31,,,,,,,0.5,46.37,0.23,,9,0.58,76,,1.09,735.68,1.2,392,2.83,29.65,7.1,0.7,112,1.8,,,0.219,,,,2,,1.79,16.36,,4.24,128.5,,,3.03,148.3
M450,-80.790524,25.662908,W,9/19/1996,286.64,,,,,,,0.7,55.78,0.22,,24,0.3,150,,1.22,540.55,1.7,387,5.7,30.86,7.56,1.36,116,4.27,,,0.383,,,,2,,2.13,19.48,,3.82,123.3,,,2.915,282.9
M446,-80.696014,25.734941,W,9/19/1996,150.49,,,,,,,0.8,62.35,0.17,,36,0.92,160,,1.21,367.4,2.1,565,3.69,36.4,7.43,0.67,180,2.27,,,0.483,,,,5.3,,1.93,21.93,,5.79,-35,,,1.28,81.78
M445,-80.626805,25.750295,W,9/19/1996,99.2,,,,,,,3.3,87.28,0.09,,68,0.09,140,,1.09,315.46,1.3,514,2.33,27.33,6.98,1.27,29,1.17,,,0.802,,,,5.6,,3.45,19.6,,5.37,-62,,,,559.14
M444,-80.538073,25.756809,W,9/19/1996,27.45,,,,,,,1.8,38.38,0.18,,17,0.12,74,,1.21,288.95,1.4,562,,30.18,7.12,0.99,15,0.73,,,0.204,,,,4.2,,1.1,19.29,,8.47,-83,,,,187.78
M452,-80.715611,25.660417,W,9/19/1996,233.57,,,,,,,2.3,86.63,0.11,,130,,220,,1.33,398.71,2,506,6.11,31.17,7.35,0.83,123,3.15,,,0.443,,,,5.2,,1.84,23.12,,6.1,101.3,,,3.1,185.33
M441,-80.672917,25.806179,W,9/19/1996,120.81,,,,,,,4.4,90.83,0.06,,74,0.67,170,,1,417.62,2.4,345,3.28,32.36,7.18,0.62,128,1.14,,,0.379,,,,2,,1.45,15.99,,4.24,-87,,,6.13,232.14
M447,-80.771209,25.703362,W,9/19/1996,274.44,,,,,,,0.8,28.61,0.31,,3.8,0.69,58,,1.2,276.84,1.3,313,9.64,34.39,8.05,1.27,106,4.72,,,0.304,,,,2,,2,19.13,,3.82,111.5,,,4.075,124.98
M443,-80.759778,25.770556,W,9/19/1996,109.32,,,,,,,0.3,58.35,0.19,,27,0.3,150,,0.87,480.97,2.2,271,7.57,33.27,7.3,1.1,102,2.13,,,0.146,,,,2,,2.2,14.05,,4.24,150.7,,,0.88,124.83
M440,-80.599741,25.819913,W,9/19/1996,238.56,,,,,,,5.1,84.51,0.1,,10,0.43,130,,1.06,265.23,1.5,491,2.45,31.77,7.1,12.2,-65,2.55,,,0.304,,,,2,,2.95,16.25,,4.44,-87,,,1.46,81.27
M442,-80.832924,25.790594,W,9/19/1996,65.59,,,,,,,1,59.96,0.17,,32,0.16,120,,0.81,385.9,2.2,232,6.63,31.12,7.01,0.81,100,1.87,,,0.135,,,,2,,1.68,11.33,,2.48,135.5,,,1.595,293.89
M438,-80.822703,25.83158,W,9/19/1996,67.04,,,,,,,1.8,82.15,0.1,,39,0.18,200,,0.92,423.72,2.5,220,8.3,32.37,7.62,1.61,92,3.57,,,0.127,,,,2,,2.28,12.91,,4.34,136.7,,,1.82,257.53
M437,-80.721886,25.836709,W,9/19/1996,249.48,,,,,,,3.9,90.79,0.09,,130,0.42,220,,0.75,394.91,2.3,267,6.42,31.18,7.3,0.6,103,1.21,,,0.226,,,,2,,1.69,11.79,,2.69,122.5,,,1.1,130.71
M439,-80.518299,25.823752,W,9/20/1996,250.06,,,,,,,2.8,87.89,0.13,,52,0.32,190,,1.17,344.35,2.1,537,1.65,27.57,7.31,1.02,192,2.19,,,0.314,,,,2,,2.21,19.96,,3.51,47,,,1.16,99.64
M433,-80.795014,25.896875,W,9/20/1996,163.07,,,,,,,3.1,89.07,0.09,,45,,240,,0.83,440.36,1.9,245,0.98,27.58,6.92,0.84,90,1.86,,,0.073,,,,2,,1.48,13.83,,4.44,183.3,,,,104.04
M436,-80.640751,25.874851,W,9/20/1996,191.18,,,,,,,6,91.13,0.11,,9.5,,130,,1.03,199.2,2.9,400,3.51,27.84,7.47,1.04,164,1.71,,,0.358,,,,2,,1.22,17.46,,4.65,21.7,,,1.28,415.02
M432,-80.712756,25.913309,W,9/20/1996,229.38,,,,,,,2.9,92.26,0.1,,27,0.05,240,,0.94,287.89,2.8,368,0.91,27.89,7.11,0.99,-30,2.78,,,0.177,,,,2,,1.93,16.52,,4.34,124,,,0.82,188.09
M435,-80.561237,25.878107,W,9/20/1996,230.09,,,,,,,3.4,84.1,0.16,,39,0.32,200,,0.95,215.77,1.8,551,3.34,28.07,7.3,1.23,164,1.46,,,0.408,,,,3.1,,2.12,17.59,,3.51,-12,,,0.855,149
M428,-80.692744,25.974471,W,9/20/1996,331.35,,,,,,,3.5,91.94,0.08,,44,0.73,200,,0.93,440.28,1.5,323,2.96,26.79,6.93,1.36,126,1.06,,,0.247,,,,2,,1.51,14.86,,8.47,115,,,,
M434,-80.493722,25.895389,W,9/20/1996,132.24,,,,,,,2.3,31.14,0.32,,3.5,,66,,0.98,134.92,2,529,4.85,28.61,7.45,0.79,168,1.77,,,0.315,,,,2,,1.21,18.28,,3.51,-20,,,0.88,375.56
M427,-80.755119,25.985532,W,9/20/1996,254.36,,,,,,,2.5,90,0.1,,16,0.58,140,,1,295.11,2,369,0.69,27.21,6.89,0.9,45,1.1,,,0.241,,,,2.1,,1.9,16.31,,4.34,143,,,3.17,184.76
M431,-80.62002,25.934393,W,9/20/1996,168.46,,,,,,,4.2,91.88,0.11,,28,0.18,150,,1.33,303.09,2.8,508,5.12,29.38,7.5,1.08,173,1.73,,,0.819,,,,2.9,,2.87,23.56,,5.37,-63,,,5.45,147.74
M424,-80.81572,26.01757,W,9/20/1996,220.07,,,,,,,1.4,59.69,0.13,,12,0.29,110,,0.73,309.07,1.8,218,2.77,28.74,6.97,0.59,34,1.85,,,0.14,,,,2,,0.67,11.52,,3.93,121.3,,,2.6,179.65
M430,-80.555139,25.944238,W,9/20/1996,80.21,,,,,,,2.8,88.5,0.14,,2100,,110,,1.18,271.81,2.4,556,7.34,29.38,7.38,0.45,75,1.37,,,0.37,,,,6.9,,2.29,21.42,,4.86,-71,,,1.13,204.7
M422,-80.716407,26.035592,W,9/20/1996,341.16,,,,,,,2.4,90.21,0.09,,37,0.7,210,,0.97,371.86,1.6,349,1.37,27.34,6.98,1.23,-22,1.18,,,0.394,,,,2,,2.14,15.09,,5.27,117.3,,,4.4,191.41
M429,-80.478925,25.949526,W,9/20/1996,309.81,,,,,,,2.1,85.63,0.15,,52,0.19,140,,1.19,275.02,2.3,633,6.5,30.32,7.38,0.53,171,1.54,,,0.372,,,,2.9,,2.82,20.87,,4.34,-92,,,1.645,97.2
M421,-80.67106,26.042354,W,9/20/1996,343.53,,,,,,,2.2,90.37,0.08,,41,0.64,230,,0.8,412.17,1.8,379,1.09,27.71,6.89,1.6,19,1.72,,,1.66,,,,2,,3.76,18.79,,6.3,190.3,,,2.42,58.69
M426,-80.619118,25.988851,W,9/20/1996,232.35,,,,,,,4.3,89.16,0.09,,17,1.37,160,,1,473.46,2.6,435,5.93,30.89,7.32,0.69,168,1.33,,,0.66,,,,2.2,,1.35,17.49,,9.09,-94,,,5.68,203.22
M425,-80.509944,26.004806,W,9/20/1996,14.99,,,,,,,2.2,86.41,0.14,,1700,,100,,1.39,276.05,2.4,665,4.57,31.69,7.44,0.83,162,1.26,,,0.075,,,,11,,0.67,24.64,,9.4,-80,,,,140.26
M417,-80.716144,26.099176,W,9/20/1996,172.89,,,,,,,2,77.08,0.1,,10,0.83,220,,0.72,400.14,1.2,374,3.88,29.55,7.13,1.26,115,2.75,,,0.353,,,,2,,2.63,17.14,,4.75,140.5,,,3.12,276.72
M423,-80.450226,26.028116,W,9/21/1996,227.41,,,,,,,1.5,67.72,0.25,,22,0.64,190,,1.07,274.95,1.8,633,2.87,26.24,7.2,0.43,159,1.08,,,0.266,,,,2,,2.38,19.75,,4.03,60.5,,,1.15,76.67
M420,-80.58765,26.069499,W,9/21/1996,22.51,,,,,,,2.6,87.2,0.14,,7.2,0.68,160,,1.41,306.96,2.5,635,0.36,26.92,7.07,0.96,-54,0.77,,,0.324,,,,11,,1.09,29.31,,12.61,52.5,,,,172.3
M419,-80.494884,26.071204,W,9/21/1996,59.04,,,,,,,1.6,52.77,0.19,,360,0.22,120,,1.11,325.79,3.6,455,0.98,27.2,7.33,1.18,-9,2.36,,,0.643,,,,4,,2.53,18.51,,6.2,35.3,,,0.725,125.56
M409,-80.690204,26.18464,W,9/21/1996,72.9,,,,,,,0.5,38.3,0.32,,640,0.29,65,,1.63,532.36,1.5,641,0.57,27.92,7.08,1.29,-60,1.86,,,0.42,,,,15,,1.54,29.86,,8.27,67.5,,,,158.59
M416,-80.469333,26.121389,W,9/21/1996,56.22,,,,,,,0.9,64.09,0.23,,7.9,0.17,100,,0.93,314.81,3.1,542,0.97,27.45,7.35,0.62,133,1.5,,,0.44,,,,12,,2.29,25.1,,4.96,-2,,,0.685,156.88
M404,-80.657068,26.222518,W,9/21/1996,78.11,,,,,,,0.5,36.88,0.47,,630,0.19,65,,1.51,225.91,1.5,647,0.54,26.55,7.1,0.82,-24,1.23,,,0.403,,,,17,,1.38,29.55,,7.34,56.7,,,,223.44
M415,-80.551333,26.130087,W,9/21/1996,27.87,,,,,,,2.5,78.45,0.19,,20,0.49,140,,1.6,299.19,2.4,626,1.23,27.77,7.14,0.79,-7,0.79,,,0.542,,,,12,,2.16,29.63,,7.96,35,,,1.18,138.2
M414,-80.627886,26.130981,W,9/21/1996,5.32,,,,,,,5.1,78.31,0.11,,44,0.25,180,,1.56,860.34,1.4,573,4.27,28.63,7.21,1.73,98,0.16,,,0.088,,,,5.8,,0.81,24.08,,28.52,17,,,,156.26
M403,-80.727044,26.237443,W,9/21/1996,99.64,,,,,,,1.4,46.29,0.22,,20,0.2,67,,1.09,290.67,1,469,1.64,26.48,7.04,0.8,114,0.69,,,0.184,,,,5.6,,1.6,23.4,,7.13,80.7,,,0.77,133.71
M410,-80.606225,26.183956,W,9/21/1996,173.73,,,,,,,1.2,76.11,0.14,,330,0.56,120,,1.37,490.86,1.3,558,5.47,29.94,7.28,0.49,151,1.17,,,0.304,,,,14,,0.81,25.72,,4.65,-60,,,1.03,195.9
M398,-80.772974,26.290418,W,9/21/1996,455.18,,,,,,,0.8,17.24,0.54,,370,0.15,32,,1.27,112.29,1,421,2.96,26.89,7.01,1,137,1.01,,,0.42,,,,3.4,,2.62,24.09,,15.91,129,,,,
M402,-80.583659,26.23843,W,9/21/1996,157.19,,,,,,,0.5,61.5,0.22,,1200,0.4,45,,1.36,594.34,1.8,522,3.16,27.95,7.19,0.4,167,0.29,,,0.179,,,,8.6,,1.09,24.38,,8.78,-80,,,,
M408,-80.824446,26.203106,W,9/21/1996,,,,,,,,0.8,29.45,0.57,,8.1,0.11,46,,1.17,284.57,1,318,3.22,28.39,6.88,0.52,132,0.65,,,0.311,,,,2,,1.85,20.21,,6.2,126.7,,,,
M411,-80.751437,26.170045,W,9/21/1996,181.8,,,,,,,0.4,16.93,0.49,,7.1,0.08,49,,1.15,97.18,1.5,335,7.61,30.79,7.35,2.5,122,4.38,,,0.391,,,,2.4,,1.62,16.34,,4.24,115.5,,,2.76,300.62
M406,-80.526708,26.208276,W,9/21/1996,329.36,,,,,,,1.4,86.42,0.17,,19,0.47,90,,0.78,380.92,1.5,408,4.46,29.66,7.11,0.42,166,0.69,,,0.229,,,,4.8,,1.97,20.75,,6.2,-83,,,3.21,247.56
M407,-80.469028,26.206083,W,9/21/1996,17.5,,,,,,,2.6,75.62,0.15,,110,0.3,120,,1.23,434.99,1.2,605,3.77,28.71,7.19,0.61,107,0.26,,,0.077,,,,16,,1.63,22.3,,8.16,-84,,,,246.82
M386,-80.295622,26.402648,W,9/21/1996,40.85,,,,,,,7.4,96.01,0.09,,12,0.64,160,,0.98,360.51,1.9,41.2,7.22,28.96,5.81,1.12,195,4.32,,,0.079,,,,2,,3.26,24.13,,11.57,22.7,,,,
M413,-80.830653,26.136496,W,9/21/1996,,,,,,,,2.7,49.88,0.22,,8.5,1.85,180,,1.17,517.74,0.4,260,2.23,28.67,6.71,0.75,105,0.61,,,0.173,,,,2,,1.66,17.8,,5.58,96.5,,,,
M418,-80.788592,26.088053,W,9/21/1996,208.51,,,,,,,1.3,79.51,0.12,,34,0.28,130,,1.42,317.46,1.5,405,1.95,29.28,6.91,1.55,57,1.88,,,0.719,,,,2,,1.82,16.39,,5.74,118.7,,,2.39,200.53
M379,-80.43457,26.468389,W,9/22/1996,28.18,,,,,,,8,90.29,0.07,,1300,,94,,1.63,636.78,2.3,731,2.19,26.99,7.39,1.55,-182,0.79,,,0.745,,,,20,,3.12,31.47,,32.34,8.7,,,,
M378,-80.396649,26.522578,W,9/22/1996,142.11,,,,,,,9.8,94.2,0.05,,21,0.67,180,,1.05,265.85,1.4,58.1,3.25,27.62,6.2,7.7,161,4.92,,,0.394,,,,2,,5.12,14.05,,8.89,123.4,,,,
M375,-80.370871,26.575972,W,9/22/1996,179.8,,,,,,,11.9,94.17,0.05,,200,1.89,200,,1.37,260.84,1,75.5,6.04,28.85,6.54,19.05,145,6.19,,,0.579,,,,2,,6.3,12.6,,10.85,137.7,,,,
M400,-80.419519,26.258704,W,9/22/1996,283.75,,,,,,,6.2,89.02,0.14,,1700,0.29,240,,1.96,393.82,1.5,714,4.46,28.22,7.42,1.26,-59,2.54,,,0.855,,,,30,,3.67,36.32,,12.81,50.5,,,5.215,70.68
M374,-80.316948,26.607611,W,9/22/1996,85.35,,,,,,,6.3,93.04,0.09,,1900,,110,,0.99,257.77,2.7,137.9,6.1,29.6,6.9,1.15,153,1.69,,,0.454,,,,2.6,,3.4,14.28,,9.92,133.5,,,,
M376,-80.25052,26.557258,W,9/22/1996,42.28,,,,,,,2.2,53.4,0.12,,12,0.11,100,,1.34,256.82,1.8,274,4.19,27.64,6.92,1.26,110,0.98,,,0.667,,,,4.6,,3.34,19.29,,16.64,97.3,,,,
M388,-80.442645,26.38748,W,9/22/1996,231.74,,,,,,,5.7,87.2,0.15,,18,0.32,180,,1.5,376.17,0.9,841,4.97,28.06,7.83,2.77,142,0.16,,,0.275,,,,39,,1.99,29.28,,21.6,145,,,,
M391,-80.391933,26.344429,W,9/22/1996,19.7,,,,,,,4.7,82.71,0.08,,100,,160,,1.76,1241.21,0.8,485,1.54,30.1,7.58,2.27,75,0.09,,,0.196,,,,20,,3.24,35.26,,46.81,-30,,,,
M377,-80.320916,26.531338,W,9/22/1996,152.49,,,,,,,8.8,94.72,0.05,,21,6.59,160,,1.19,283.82,1.2,68,7.22,31.42,6.12,9.86,136,5.91,,,0.401,,,,2,,4.65,17.58,,10.44,178,,,3.95,535.1
M389,-80.334798,26.351379,W,9/22/1996,95.14,,,,,,,5.1,89.53,0.07,,3100,,130,,1.51,1272.21,1.6,778,1.21,28.38,7.09,9.91,-165,0.12,,,0.249,,,,23,,6.99,42.8,,132.47,-3,,,,
M380,-80.272306,26.466889,W,9/22/1996,138.41,,,,,,,8.5,95.4,0.05,,20,1.85,130,,1.2,248.09,2,61.3,7.39,30.07,6.39,4.7,111,5.52,,,0.357,,,,2,,4.71,21.69,,7.65,174.5,,,,
M383,-80.235254,26.418586,W,9/22/1996,4.96,,,,,,,3,87.37,0.11,,1500,,200,,2.14,454.89,2.7,991,2.81,29.12,7.24,2.7,59,0.17,,,0.144,,,,54,,0.58,44.53,,64.89,-29,,,,170.09
M381,-80.34714,26.452301,W,9/22/1996,89.03,,,,,,,8.8,95.15,0.05,,21,1.13,170,,1.05,270.26,2,60,8.77,30.91,6.49,1.12,105,5.3,,,0.192,,,,2,,3.71,19.75,,7.65,193.5,,,,
M385,-80.365712,26.408527,W,9/22/1996,241.93,,,,,,,7.4,93.5,0.05,,22,0.11,140,,1.36,412.1,2.5,362,5.85,28.97,7.08,0.93,87,2.06,,,1.23,,,,5.6,,2.93,22.62,,10.02,114.3,,,,
M412,-80.399473,26.146226,W,9/23/1996,385.32,,,,,,,1.8,74.93,0.17,,770,0.69,190,,0.97,231.6,3.7,609,1.67,27.4,7.27,0.76,160,2.37,,,0.493,,,,9.7,,3.03,23.9,,3.41,59.7,,,5.8,303.17
M405,-80.367461,26.212703,W,9/23/1996,69.6,,,,,,,3.8,79.88,0.1,,360,0.19,150,,1.95,321.44,1.2,768,4.25,26.97,7.07,2.97,-64,2.45,,,1.25,,,,33,,4.47,33.32,,13.43,-1,,,0.92,156.57
