STA_ID,LONG,LAT,SEASON,Date,THG_Fish,Floc_Depth_ft,AFDW_Floc,MEHG_Floc,THG_floc,Tot_Phos_floc,Bulk_Dens_Floc,Soil_Thickness_FT,AFDW_Soil,Bulk_Dens_Soil,PH_soil,SO4_soil,MEHG_soil,THG_soil,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Phos_soil,Wat_Depth_ft,COND_SW,DO_SW,TEMP_SW,PH_SW,TURB_SW,REDOX_SW,Alk_Phos_SW,CHLA_SW,CL_SW,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,SO4_SW,Sol_Reac_Phos_SW,THG_SW,TOC_SW,Tot_Nitrogen_SW,Tot_Phos_SW,REDOX_PW,H2S_PW,Sol_Reac_Phos_PW,MEHG_Peri_AVG,THG_epi_peri
M089,-80.863692,25.494651,D,4/6/1995,159.02,,,,,,,0.5,71.51,0.16,,220,1.13,230,,,630.39,1.5,532,5.16,25.97,7.13,3.21,,1.78,,,0.221,,,,2,,2.73,30.13,,8.76,3.7,,,,
M104,-80.664235,25.261128,D,4/6/1995,,,,,,,,1.2,27.67,0.22,,220,0.11,58,,,223.81,0.8,445,2.74,23.66,7.24,9.31,,0.95,,,0.308,,,,2,,2.25,15.29,,3.88,104.7,,,0.26,29.97
M085,-80.824377,25.559641,D,4/6/1995,57.52,,,,,,,0.5,34.24,0.21,,200,0.05,100,,,321.48,1,485,5.63,25.6,7.45,5.65,,3,,,0.514,,,,2,,2.9,29.63,,6.28,180.5,,,2.355,44.74
M101,-80.627173,25.324297,D,4/6/1995,,,,,,,,2.4,16.25,0.33,,120,0.12,38,,,194.38,1,446,2.84,24.6,7.37,4.95,,2.58,,,0.938,,,,2,,4.93,22.32,,4.81,111.7,,,1.025,17.18
M102,-80.561499,25.340185,D,4/6/1995,,,,,,,,0.3,9.81,0.62,,77,0.14,23,,,112.43,0,,,,,,,,,,,,,,,,,,,,239.3,,,0.17,
M066,-80.515673,25.836945,D,4/6/1995,405.52,,,,,,,2.8,84.03,0.14,,250,0.28,150,,,260.79,1.7,623,3.52,23.37,7.17,0.95,,0.87,,,0.545,,,,5.7,,2.45,23.47,,55.18,141.7,,,4.13,31.34
M065,-80.601754,25.833824,D,4/6/1995,185.74,,,,,,,4.7,79.98,0.16,,130,0.84,140,,,386.27,1.8,575,4.42,22.74,7.33,10.69,,1.91,,,0.339,,,,2,,2.35,20.7,,46.73,131.3,,,1.335,4.15
M084,-80.914861,25.544083,D,4/7/1995,,,,,,,,2,16.68,0.42,,100,0.18,37,,,279.72,0.8,441,3.24,22.26,7.63,1.17,,1.37,,,0.056,,,,2,,1.66,21.49,,4.11,-27,,,0.485,20.64
M096,-80.623646,25.411255,D,4/7/1995,,,,,,,,2.5,20.57,0.5,,98,0.25,68,,,334.97,0,,,,,,,,,,,,,,,,,,,,,,,,
M097,-80.677508,25.395522,D,4/7/1995,,,,,,,,0.5,17.8,0.65,,80,0.12,62,,,447.87,0,,,,,,,,,,,,,,,,,,,,,,,,
M082,-80.955653,25.594699,D,4/7/1995,135.49,,,,,,,2.4,16.38,0.29,,180,0.21,50,,,179.26,2.1,307,6,23.67,7.85,1.22,,1.95,,,0.111,,,,2,,1.95,19.66,,13.95,27.5,,,0.995,33.64
M095,-80.662732,25.467892,D,4/7/1995,,,,,,,,0.5,10.43,0.68,,75,,37,,,190.79,0,,,,,,,,,,,,,,,,,,,,,,,,
M083,-80.908778,25.614333,D,4/7/1995,83.43,,,,,,,1.1,10.07,0.59,,82,0.17,30,,,152.12,1,341,6.68,24.32,7.73,0.81,,1.43,,,0.109,,,,2,,1.37,18.84,,22.86,154.7,,,0.57,23.02
M077,-80.822643,25.635512,D,4/7/1995,323.17,,,,,,,0.5,21.64,0.44,,100,0.14,54,,,339.06,1.5,408,5.85,25.35,7.53,1.2,,1.55,,,0.469,,,,2,,2.5,20.88,,32.78,202.5,,,7.53,45.21
M061,-80.566725,25.889931,D,4/7/1995,156.24,,,,,,,3.2,85.07,0.13,,300,0.15,100,,,521.98,1.8,606,2.99,24,7.39,0.83,,1.22,,,0.471,,,,8.3,,2.19,22.87,,32.03,198.7,,,3.34,32.18
M070,-80.765899,25.758436,D,4/7/1995,279.5,,,,,,,0.3,40.68,0.18,,210,1.2,96,,,477.71,1.9,459,4.45,25.86,7.47,1.46,,1.3,,,0.832,,,,5.7,,2.84,21.07,,48.28,199.3,,,,67.98
M060,-80.633786,25.900311,D,4/7/1995,250.4,,,,,,,4.2,89.4,0.1,,370,0.43,160,,,461.23,3,493,6.9,26.72,7.59,0.73,,1.21,,,0.419,,,,9.2,,2.24,21.92,,33.56,194.5,,,5.57,35.81
M069,-80.862402,25.741839,D,4/7/1995,168.82,,,,,,,1.1,26.12,0.36,,120,0.26,73,,,542.42,1.2,321,6.3,28.75,8.01,1.36,,1.83,,,0.114,,,,2,,2.07,13.69,,23.77,199.3,,,1.14,64.65
M056,-80.542194,25.962083,D,4/7/1995,5.15,,,,,,,2.8,86.69,0.1,,380,,81,,,421.25,2.7,642,4.32,24.99,7.19,0.49,,0.58,,,0.074,,,,21,,0.997,22.52,,29.3,92,,,,36.09
M072,-80.856988,25.677228,D,4/7/1995,71.75,,,,,,,0.6,35.53,0.34,,120,0.26,69,,,305.05,0.9,340,8.53,27.14,7.76,1.49,,1.81,,,0.256,,,,2,,2.82,15.7,,31.78,268.5,,,3.53,
M057,-80.473241,25.927721,D,4/7/1995,211.42,,,,,,,2.3,82.52,0.15,,250,0.47,180,,,306.39,2.3,657,5.54,25.64,7.33,1.29,,1.77,,,0.391,,,,5.9,,2.308,24.13,,37.1,157.3,,,,39.08
M073,-80.778544,25.689012,D,4/7/1995,260.73,,,,,,,0,29.12,0.3,,120,0.12,84,,,428.56,1.6,424,12.55,29.04,8.14,1.91,,2.34,,,0.545,,,,2,,3.06,21.18,,38.29,206,,,3.96,55.33
M063,-80.721625,25.811697,D,4/7/1995,270.19,,,,,,,4,90.34,0.08,,540,1.42,170,,,443.18,2.5,461,8.85,26.5,7.73,2.1,,2.15,,,0.751,,,,7.2,,2.81,24.99,,28.52,180,,,5.93,32.22
M039,-80.45302,26.16249,D,4/8/1995,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
M062,-80.828675,25.808455,D,4/8/1995,231.03,,,,,,,1,74.4,0.11,,320,0.54,180,,,397.81,2.4,291,4,24.17,7.18,1.34,,1.67,,,0.42,,,,2,,2.63,17.49,,14.78,37.3,,,3.215,60.82
M051,-80.450471,25.998521,D,4/8/1995,217.01,,,,,,,1,81.84,0.16,,280,0.41,120,,,408.8,3,755,3.79,22.15,7.27,0.59,,1.73,,,0.51,,,,2,,2.45,26.68,,36.66,161.5,,,2.84,40.2
M058,-80.793915,25.858142,D,4/8/1995,77.27,,,,,,,2.4,89.51,0.1,,360,0.67,130,,,549.95,2.6,325,6.1,24.5,7.48,1.69,,1.52,,,0.774,,,,2,,2.77,16.25,,26.87,-6,,,0.51,42.23
M050,-80.521874,26.035388,D,4/8/1995,114.06,,,,,,,3.5,82.18,0.14,,240,0.19,160,,,202.27,3.5,578,4.18,23.86,7.46,0.42,,1.38,,,0.584,,,,18,,1.58,28.28,,36.89,150.5,,,4.23,35.84
M059,-80.699443,25.877171,D,4/8/1995,269.35,,,,,,,3.8,88.94,0.11,,360,0.22,160,,,843.83,3.1,474,6.98,25.06,7.62,0.67,,2.53,,,0.762,,,,7.2,,2.68,23.54,,31.31,-48,,,2.55,40.44
M052,-80.827518,25.925328,D,4/8/1995,216.9,,,,,,,1.2,57.32,0.15,,270,0.23,140,,,608.68,1.2,387,2.73,24.67,7.18,0.63,,1.2,,,0.455,,,,2,,2.1,17.88,,32.24,-85,,,2.83,55.63
M049,-80.576519,26.020458,D,4/8/1995,160.23,,,,,,,4,86.76,0.11,,290,6.54,100,,,433.03,3.4,751,5.2,24.75,7.52,0.51,,2.51,,,0.978,,,,36,,2.52,35.38,,36.12,167.5,,,1.38,34.8
M053,-80.755646,25.932295,D,4/8/1995,171.85,,,,,,,3.3,92.59,0.09,,400,0.16,240,,,606.6,2.2,334,6.37,26.42,7.33,1.27,,0.66,,,0.541,,,,2,,2.36,13.33,,23.87,-64,,,1.315,79.01
M044,-80.567034,26.079427,D,4/8/1995,262.26,,,,,,,1,42.87,0.24,,160,0.07,38,,,293.34,3.5,607,5.14,23.33,7.35,0.42,,1.79,,,2.07,,,,17,,3.63,26.23,,37.28,113.3,,,10.54,38.15
M054,-80.710933,25.94713,D,4/8/1995,396.12,,,,,,,3.5,89.95,0.1,,400,0.12,220,,,497.07,2.5,338,8.41,26.95,7.52,1.83,,1.43,,,0.813,,,,2,,2.66,15.6,,24.1,219.7,,,9.955,
M045,-80.496545,26.114635,D,4/8/1995,138.12,,,,,,,1,39.17,0.28,,140,0.3,50,,,230.19,3,596,10.31,22.61,7.8,0.47,,1.47,,,0.389,,,,16,,2.69,23.57,,32.24,112,,,1.28,24.6
M046,-80.80673,26.001602,D,4/8/1995,289.67,,,,,,,1.6,79.11,0.11,,370,0.6,180,,,430.06,1.5,371,8.04,28.83,7.67,1.89,,1.89,,,1.4,,,,2,,2.83,19.44,,31.23,200.5,,,8.505,
M018,-80.403419,26.174136,D,4/8/1995,146.67,,,,,,,7,88.27,0.13,,320,1.14,160,,,359.56,2.2,905,5.62,24.74,7.25,1.23,,1.94,,,2.17,,,,34,,4.68,32.92,,18.08,118.5,,,3.26,54.74
M041,-80.782377,26.058809,D,4/8/1995,510.42,,,,,,,2.2,86.41,0.09,,440,0.96,130,,,421.8,1,373,5.64,26.33,7.28,3.25,,3.16,,,1.71,,,,2,,3.2,20.93,,15.19,212,,,9.605,71.52
M038,-80.530389,26.148389,D,4/9/1995,96.96,,,,,,,3.1,70.02,0.17,,210,0.18,120,,,247.03,2.9,418,4.27,23.39,7.33,1.37,,1.45,,,0.858,,,,3,,2.62,17.69,,15.11,205.5,,,10.32,70.17
M048,-80.666522,26.018897,D,4/9/1995,441.9,,,,,,,3,90.63,0.1,,370,0.9,210,,,620.68,2,412,1.95,22.7,7.14,0.83,,0.95,,,1.03,,,,4.9,,2.73,17.52,,33.89,36.5,,,11.8,45.92
M037,-80.604999,26.153595,D,4/9/1995,390.18,,,,,,,3.3,85.65,0.12,,320,0.7,150,,,555.94,1.5,718,2.1,24.52,7.3,0.71,,0.95,,,0.567,,,,28,,1.42,33.15,,17.9,211.3,,,11.04,65.9
M047,-80.750056,25.996111,D,4/9/1995,461.15,,,,,,,3,88.01,0.08,,440,2.32,270,,,632.85,1.4,323,2.09,22.72,7.18,3.69,,1.64,,,0.546,,,,2,,2.67,15.57,,28.21,189,,,,
M033,-80.587625,26.23122,D,4/9/1995,138.4,,,,,,,1.1,56.41,0.23,,150,0.71,83,,,978.28,1,655,2.1,23.61,7.21,0.62,,0.44,,,0.28,,,,15,,1.49,24.97,,14.03,132.5,,,,
M040,-80.857953,26.037993,D,4/9/1995,190,,,,,,,1.6,31.12,0.29,,130,0.11,74,,,249.41,1.3,291,4.87,25.79,7.45,0.73,,0.7,,,0.154,,,,2,,1.73,15.26,,10.46,197.3,,,,
